C	Andor	20120925	Michael Menzel		21	2	4	90	10	Andor.png
E	Exit : l'ile oublié	20180706	Inka Brand	Markus Brand	21	1	4	60	12	exit_l_ile_interdite.png
E	Exit : Le cadavre de l'Orient Express	20181026	Inka Brand	Markus Brand	21	1	4	60	12	exit_le_cadavre_orient_express.png
E	Exit : Le Laboratoire Secret	20170922	Inka Brand	Markus Brand	21	1	4	60	12	exit_le_laboratoire_secret.png
E	Exit : Le Château Interdit	20180615	Inka Brand	Markus Brand	21	1	4	60	12	exit_le_chateau_interdit.png
C	Space Alert	20081008	Vlaada Chvátil		21	1	5	30	12	space_alert.jpeg
E	Detective	20181116	Ignacy Trzewiczek		21	1	5	150	16	detective.png
A	Code Names	20160513	Vlaada Chvátil		21	2	8	15	12	code_names.png
A	Time Bomb	20161125	Yusuke Sato		21	4	8	15	8	time_bomb.png
G	Terraforming Mars	20170522	Jacob Fryxelius		22	1	5	120	12	terra_forming_mars.png
A	Junta	20020110	Vincent Tsao	Ben Grossman	23	2	7	250	14	junta.png
G	Huns	20180406	Fneup		24	2	4	45	14	huns.png
G	Nations	20131115	Einar Rosén	Nina Håkansson	25	1	5	150	14	nations.png
A	One Key	20190419	L'atelier		26	2	6	20	8	one_key.png
A	Dixit	20081208	Jean-Louis Roubira		26	3	6	30	8	dixit.jpeg
G	Isle of Skye	20151010	Andreas Pelikan	Alexander Pfister	27	2	5	60	8	isle_of_skye.jpeg
G	Lewis & Clark	20131115	Cédrick Chaboussit		28	1	5	120	12	lewis_et_clark.jpeg
A	Colt Express	20141023	Christophe Raimbault		28	2	6	40	10	colt_express.png
G	La guerre des motuons	20020319	Philippe des Pallières		29	2	4	30	10	la_guerre_des_moutons.jpeg
A	Skull & Roses	20110301	Hervé Marly		29	3	6	30	10	skull.jpeg
A	Mafia de cuba	20150828	Philippe des Pallières	Loïc Lamy	29	6	12	20	10	mafia_de_cuba.png
A	Les Loups-Garous de Thiercelieux	20011202	Philippe des Pallières	Hervé Marly	29	8	18	30	8	loup_garou.png
G	Takenoko	20111201	Antoine Bauza		30	2	4	45	8	Takenoko.png
G	Orléans	20150701	Reiner Stockhausen		30	2	4	90	12	orleans.png
G	Cyclade	20100104	Bruno Cathala	Ludovic Maublanc	30	2	5	90	10	cyclade.png
C	Room 25	20130119	François Rouzé		30	1	6	30	10	room_25.png
G	Minivilles	20140523	Masao Suganuma		31	2	4	30	7	minivilles.jpeg
A	The Game	20150210	Steffen Benndorf		32	1	5	20	8	the_game.png
A	Insider	20190506	Akihiro Itoh	Daishi Okano	33	4	8	15	9	insider.png
S	Par Odin	20181012	Antonin Boccara		34	1	1	10	8	par_odin.png
A	Fiesta de los Muertos	20191018	Antonin Boccara		34	4	8	15	12	fiesta.png
G	Reykholt	20181025	Uwe Rosenberg		35	1	4	45	12	reyhkolt.png
A	The mind	20180315	Wolfgang Warsch		36	2	4	15	8	the_mind.png
G	Cartagena	20010103	Leo Colovini		36	2	5	40	8	cartagena.jpeg
G	Risk	19570101	Albert Lamorisse		37	2	5	120	10	risk.jpeg
G	Solenia	20181026	Sébastien Dujardin		38	1	4	45	10	solenia.png
G	Tournay	20111212	Alain Orban	Sébastien Dujardin	38	2	4	45	12	Tournay.jpeg
G	Troyes	20101028	Alain Orban	Sébastien Dujardin	38	2	4	90	12	troyes.jpeg
G	Pillards de la mer du Nord	20180115	Shem Phillips		39	2	4	70	12	pillards de la mer du nord.png
C	Mice and Mystics	20120906	Jerry Hawthorne		40	1	4	90	7	mice_mystic.jpeg
G	Azul	20171208	Michael Kiesling		41	2	4	30	8	azul4.png
G	Century : la route des épices	20170615	Emerson Matsuuchi		41	2	5	40	8	century.jpeg
A	Loup-Garou pour une nuit	20160408	Ted Alspach	Akihisa Okui	42	3	10	10	9	viticulture.jpeg
G	7 wonders Duel	20151106	Antoine Bauza	Bruno Cathala	43	2	2	30	10	7_wonders_duel.png
C	Ghost Stories	20081025	Antoine Bauza		43	1	4	60	12	ghost_stories.jpeg
G	7 wonders	20101025	Antoine Bauza		43	2	7	30	10	7_wonders.jpeg
A	Concept	20131016	Alain Rivollet	Gaëtan Beaujannot	43	4	12	40	10	concept.png
A	Mascarade	20130628	Bruno Faidutti		43	2	13	30	10	mascarade.jpeg
G	Les tavernes de la vallée profonde	20190406	Wolfgang Warsch		44	2	4	60	12	tavernes_vallee.png
A	Decrypto	20171013	Thomas Dagenais-Lespérance		45	3	8	30	12	decrypto.jpeg
A	Magic Maze	20161006	Kasper Lapp		46	1	8	15	8	magic_maze.png
S	L'aventurier	20110525	Raf Peeters		47	1	1	10	8	l_aventurier.png
S	Pingouins patineurs	20110718	Raf Peeters		47	1	1	10	6	pingouins_patineurs.png
S	Les Murailles de Troie	20110729	Raf Peeters		47	1	1	10	7	muraille_de_troie.png
S	Viking : Au coueur du MaelStrom	20080818	Raf Peeters		47	1	1	10	7	viking_MaelStorm.png
G	Ganymede	20180706	Hope S. Hwang		48	2	4	30	12	ganymede.jpeg
A	GreenVille	20190222	Florian Fay		48	3	6	40	16	Greenville.png
G	Orbis	20181001	Tim Armstrong		49	2	4	45	10	orbis.jpeg
G	Splendor	20140228	Marc André		49	2	4	30	10	splendor.jpeg
E	T.I.M.E Stories - Asylum	20150905	Manuel Rozoy		49	2	4	120	12	time_stories_asylum.png
E	T.I.M.E Stories - La prophétie des dragons	20151211	Manuel Rozoy		49	2	4	120	12	time_stories_prophetie_dragons.jpeg
E	T.I.M.E Stories - Sous le masque	20160227	Manuel Rozoy	Guillaume Montiage	49	2	4	120	12	time_stories_sous-le_masque.png
E	T.I.M.E Stories - Lumen Fidei	20170519	Manuel Rozoy	Ulric Maes	49	2	4	120	12	time_stories_lumen_fidei.png
E	T.I.M.E Stories - Frere de la Côte	20180728	Manuel Rozoy	Ulric Maes	49	2	4	120	12	time_stories_frere_de_la_cote.png
E	T.I.M.E Stories - Madame	20181113	Fabien Riffaud	Juan Rodriguez	49	2	4	120	12	time_stories_madame.jpeg
E	Unlock : Escape Adventures	20170211	Cyril Demaegd	Thomas Cauet	49	2	6	90	10	unlock_escape_adventures.png
E	Unlock : Secret Adventures	20171208	Cyril Demaegd	Thomas Cauet	49	2	6	90	10	unlock_secret_adventures.png
E	Unlock : Mystery Adventures	20170721	Cyril Demaegd	Fabrice Mazza	49	2	6	90	10	unlock_mystery_adventures.png
E	Unlock : Timeless Adventures	20190615	Cyril Demaegd		49	2	6	90	10	unlock_timeless_adventures.png
A	Munchkin	20021217	Steve Jackson		50	3	6	45	10	munchkin.jpeg
G	Viticulture	20151201	Jamey Stegmaier	Alan Stone	51	1	6	90	13	viticulture.jpeg
G	Tajuto	20191015	Reiner Knizia		52	2	4	60	10	tajuto.png
S	RushHour	20031107	Nob Yoshigahara		53	1	1	10	8	rush_hours.png
S	Solitaire chess	20110410	Vesa Timonen		53	1	1	10	8	solitaire_chess.png
G	Gaïa	20150220	Olivier Rolko		54	2	5	30	8	gaia.jpeg
A	Citadelles	20031209	Bruno Faidutti		55	2	8	60	10	citadelles.jpeg
G	Shakespeare	20150901	Arnaud Demaegd	Neriac	56	1	4	60	13	shakespeare.png
G	Myrmes	20120912	Yoann Levet		56	2	4	75	12	myrmes.jpeg
G	Agricola	20080711	Uwe Rosenberg		56	1	5	120	12	Agricola.jpeg
G	Le Havre	20090526	Uwe Rosenberg		56	1	5	180	12	le_havre.jpeg
G	Olympos	20110610	Philippe Keyaerts		56	3	5	75	10	Olympos.jpeg
